,Latitude,Longitude,x,y
77,40.74310500067605,-73.91884800020249,1006737.3414963188,210020.2338806656
78,40.743240000765105,-73.91881300055115,1006746.9943641392,210069.42767991172
79,40.74371000112609,-73.92416100027046,1005264.9107141489,210239.33547658075
80,40.74388200082643,-73.92411200014045,1005278.4343091354,210302.01218849776
81,40.74374300100013,-73.92441700024656,1005193.9630213967,210251.29706682367
82,40.74391100111205,-73.92438500038787,1005202.777308226,210312.5124955782
83,40.74456800061942,-73.93157000009163,1003211.6405424761,210550.24135083548
84,40.744724000461275,-73.93153300052721,1003221.8485273117,210607.085069152
85,40.74459400056049,-73.93182900025066,1003139.865423556,210559.6579986538
86,40.74476300048575,-73.9317939996055,1003149.5159948132,210621.23759991585
87,40.7508350011798,-73.9396710002236,1000965.3182634725,212831.8604752481
88,40.750302000858184,-73.940244999736,1000806.413069472,212637.56230740834
